file,group,packet,audit_mode,runtime_scope,status,issue_type,flow_or_surface,evidence,followup
.agent/skills/firecrawl-skill/.gitignore,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/firecrawl-skill/README.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/firecrawl-skill/SKILL.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/firecrawl-skill/fc.py,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/firecrawl-skill/requirements.txt,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.claude-plugin/marketplace.json,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.github/FUNDING.yml,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.github/ISSUE_TEMPLATE/config.yml,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.github/ISSUE_TEMPLATE/skill-request.yml,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.github/PULL_REQUEST_TEMPLATE/documentation.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.github/PULL_REQUEST_TEMPLATE/new-skill.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.github/PULL_REQUEST_TEMPLATE/skill-update.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.github/scripts/sync-skills.js,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.github/workflows/sync-skills.yml,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.github/workflows/validate-skill.yml,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/.gitignore,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/AGENTS.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/CLAUDE.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/CONTRIBUTING.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/LICENSE,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/README.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/VERSIONS.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ab-test-setup/SKILL.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ab-test-setup/evals/evals.json,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ab-test-setup/references/sample-size-guide.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ab-test-setup/references/test-templates.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ad-creative/SKILL.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ad-creative/evals/evals.json,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ad-creative/references/generative-tools.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ad-creative/references/platform-specs.md,.agent,P082_phase6_.agent_skills_01,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ai-seo/SKILL.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ai-seo/evals/evals.json,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ai-seo/references/content-patterns.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/ai-seo/references/platform-ranking-factors.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/analytics-tracking/SKILL.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/analytics-tracking/evals/evals.json,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/analytics-tracking/references/event-library.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/analytics-tracking/references/ga4-implementation.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/analytics-tracking/references/gtm-implementation.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/churn-prevention/SKILL.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/churn-prevention/evals/evals.json,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/churn-prevention/references/cancel-flow-patterns.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/churn-prevention/references/dunning-playbook.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/cold-email/SKILL.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/cold-email/evals/evals.json,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/cold-email/references/benchmarks.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/cold-email/references/follow-up-sequences.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/cold-email/references/frameworks.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/cold-email/references/personalization.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/cold-email/references/subject-lines.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/competitor-alternatives/SKILL.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/competitor-alternatives/evals/evals.json,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/competitor-alternatives/references/content-architecture.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/competitor-alternatives/references/templates.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/content-strategy/SKILL.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/content-strategy/evals/evals.json,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/content-strategy/references/headless-cms.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/copy-editing/SKILL.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/copy-editing/evals/evals.json,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/copy-editing/references/plain-english-alternatives.md,.agent,P083_phase6_.agent_skills_02,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/copywriting/SKILL.md,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/copywriting/evals/evals.json,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/copywriting/references/copy-frameworks.md,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/copywriting/references/natural-transitions.md,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/email-sequence/SKILL.md,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/email-sequence/evals/evals.json,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/email-sequence/references/copy-guidelines.md,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/email-sequence/references/email-types.md,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/email-sequence/references/sequence-templates.md,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/form-cro/SKILL.md,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
.agent/skills/marketing/skills/form-cro/evals/evals.json,.agent,P084_phase6_.agent_skills_03,third-party-governance,support-surface,needs-followup,,embedded-skills,,
